id,name_el,name_ancient,name_en,entity_type,subtype,sanctuary_scope,sanctuary_setting,sanctuary_function_tags,ancient_region,modern_country,modern_country_iso3,modern_locality,latitude,longitude,geometry_wkt,start_year,end_year,date_note_el,chronology_basis,start_precision,end_precision,chronology_note_el,metropolis_el,associated_city_el,representative_center_el,deity_or_cult_el,dynasty_el,predecessor_el,successor_el,description_el,temporal_precision,location_certainty,coordinate_source,pleiades_location_precision,geometry_role,spatial_note_el,source_url,secondary_source_url,pleiades_id,data_version,review_status
city-eretria-euboea,Ερέτρια,Ἐρέτρια,Eretria,city,polis,,,,Εύβοια,Ελλάδα,GRC,Ερέτρια,38.399917,23.794721,POINT (23.794721 38.399917),-850,600,850 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Ισχυρή ευβοϊκή πόλη με εμπορικά δίκτυα και αποικίες στο Αιγαίο και τη Δύση.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/579925,,579925,0.1 — 2026-08-14,curated_initial
city-chalcis-euboea,Χαλκίδα,Χαλκίς,Chalcis,city,polis,,,,Εύβοια,Ελλάδα,GRC,Χαλκίδα,38.457139,23.621937,POINT (23.621937 38.457139),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Κύριο ευβοϊκό κέντρο στον Εύριπο και μία από τις πρωτοπόρες πόλεις του ελληνικού αποικισμού.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/540703,,540703,0.1 — 2026-08-14,curated_initial
city-larissa-thessaly,Λάρισα,Λάρισα,Larissa,city,polis,,,,Θεσσαλία,Ελλάδα,GRC,Λάρισα,39.634851,22.42097,POINT (22.42097 39.634851),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Κεντρική θεσσαλική πόλη και έδρα της αριστοκρατικής οικογένειας των Αλευαδών.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/540905,,540905,0.1 — 2026-08-14,curated_initial
city-pherae-thessaly,Φερές,Φεραί,Pherae,city,polis,,,,Θεσσαλία,Ελλάδα,GRC,Βελεστίνο,39.379043,22.753851,POINT (22.753851 39.379043),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Ισχυρή θεσσαλική πόλη που κυριάρχησε στην περιοχή υπό τον Ιάσονα των Φερών.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/541044,,541044,0.1 — 2026-08-14,curated_initial
city-smyrna,Σμύρνη,Σμύρνα,Smyrna,city,polis,,,,Ιωνία,Τουρκία,TUR,İzmir,38.417196,27.141387,POINT (27.141387 38.417196),-300,600,300 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Η ελληνιστική Σμύρνη ιδρύθηκε εκ νέου κοντά στο όρος Πάγος, διαδεχόμενη την παλαιότερη πόλη στο Μπαϊρακλί.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/550893,,550893,0.1 — 2026-08-14,curated_initial
city-samos-city,Σάμος,Σάμος,Samos,city,polis,,,,Ιωνία / Σάμος,Ελλάδα,GRC,Πυθαγόρειο,37.68825,26.944483,POINT (26.944483 37.68825),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Ιωνική πόλη και ναυτική δύναμη, ιδιαίτερα ακμαία υπό τον Πολυκράτη τον 6ο αιώνα π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/599925,,599925,0.1 — 2026-08-14,curated_initial
city-chios-city,Χίος,Χίος,Chios,city,polis,,,,Ιωνία / Χίος,Ελλάδα,GRC,Χίος,38.372239,26.132979,POINT (26.132979 38.372239),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Νησιωτική πόλη με ισχυρή ναυτιλία, εμπόριο οίνου και συμμετοχή στην Ιωνική Δωδεκάπολη.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/550496,,550496,0.1 — 2026-08-14,curated_initial
city-corinth,Κόρινθος,Κόρινθος,Corinth,city,polis,,,,Κορινθία,Ελλάδα,GRC,Αρχαία Κόρινθος,37.905642,22.878614,POINT (22.878614 37.905642),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Ισχυρή εμπορική πόλη στον Ισθμό· καταστράφηκε το 146 π.Χ. και επανιδρύθηκε ως ρωμαϊκή αποικία το 44 π.Χ.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570182,,570182,0.1 — 2026-08-14,curated_initial
city-sicyon,Σικυώνα,Σικυών,Sicyon,city,polis,,,,Κορινθία,Ελλάδα,GRC,Αρχαία Σικυώνα,37.983819,22.712193,POINT (22.712193 37.983819),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Πόλη της βόρειας Πελοποννήσου, ιδιαίτερα γνωστή για τη γλυπτική και τη ζωγραφική της παράδοση.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570668,,570668,0.1 — 2026-08-14,curated_initial
city-gortyn,Γόρτυνα,Γόρτυν,Gortyn,city,polis,,,,Κρήτη,Ελλάδα,GRC,Γόρτυνα Ηρακλείου,35.062107,24.946943,POINT (24.946943 35.062107),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Μεγάλη κρητική πόλη, γνωστή για τον αρχαϊκό νομικό κώδικα και τη ρωμαϊκή πρωτεύουσα Κρήτης και Κυρηναϊκής.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/589796,,589796,0.1 — 2026-08-14,curated_initial
city-knossos,Κνωσός,Κνωσός,Knossos,city,polis,,,,Κρήτη,Ελλάδα,GRC,Κνωσός Ηρακλείου,35.297847,25.163106,POINT (25.163106 35.297847),-2000,600,2000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Πολυπερίοδη πόλη γύρω από το μινωικό ανακτορικό κέντρο, με συνεχή σημασία και στους ιστορικούς χρόνους.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/589872,,589872,0.1 — 2026-08-14,curated_initial
city-thera-city,Θήρα,Θήρα,Thera,city,polis,,,,Κυκλάδες,Ελλάδα,GRC,Μέσα Βουνό Σαντορίνης,36.363279,25.47843,POINT (25.47843 36.363279),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Δωρική πόλη στη Θήρα, μητρόπολη της Κυρήνης σύμφωνα με την αρχαία παράδοση.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/599971,,599971,0.1 — 2026-08-14,curated_initial
city-naxos-cyclades,Νάξος,Νάξος,Naxos,city,polis,,,,Κυκλάδες,Ελλάδα,GRC,Χώρα Νάξου,37.103871,25.377595,POINT (25.377595 37.103871),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Κυριότερη πόλη της Νάξου και ισχυρό κυκλαδικό κέντρο της αρχαϊκής εποχής.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/599821,,599821,0.1 — 2026-08-14,curated_initial
city-ptolemais-cyrenaica,Πτολεμαΐδα Κυρηναϊκής,Πτολεμαΐς,Ptolemais of Cyrenaica,city,polis,,,,Κυρηναϊκή,Λιβύη,LBY,Tolmeita,32.707134,20.95385,POINT (20.95385 32.707134),-300,600,300 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Η ελληνιστική πόλη που αναπτύχθηκε από το λιμάνι της Βάρκης και έγινε σημαντικό κέντρο της Κυρηναϊκής.,approximate,medium,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/373879,,373879,0.1 — 2026-08-14,needs_review
city-kos-city,Κως,Κῶς,Kos,city,polis,,,,Κως / Δωδεκάνησα,Ελλάδα,GRC,Κως,36.893601,27.289914,POINT (27.289914 36.893601),-366,600,366 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Η νέα πόλη της Κω ιδρύθηκε με συνοικισμό το 366 π.Χ. και έγινε σημαντικό εμπορικό και ιατρικό κέντρο.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/599728,,599728,0.1 — 2026-08-14,curated_initial
city-sparta,Σπάρτη,Σπάρτη,Sparta,city,polis,,,,Λακωνία,Ελλάδα,GRC,Σπάρτη,37.081782,22.424672,POINT (22.424672 37.081782),-950,600,950 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Δωρική πόλη της Λακωνίας, γνωστή για το στρατιωτικό και πολιτειακό της σύστημα.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570685,,570685,0.1 — 2026-08-14,curated_initial
city-mytilene,Μυτιλήνη,Μυτιλήνη,Mytilene,city,polis,,,,Λέσβος / Αιολίδα,Ελλάδα,GRC,Μυτιλήνη,39.110475,26.547048,POINT (26.547048 39.110475),-1050,600,1050 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Κύρια πόλη της Λέσβου, σημαντικό αιολικό ναυτικό και πνευματικό κέντρο.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/550763,,550763,0.1 — 2026-08-14,curated_initial
city-demetrias,Δημητριάδα,Δημητριάς,Demetrias,city,polis,,,,Μαγνησία,Ελλάδα,GRC,Νέα Αγχίαλος / Βόλος,39.343481,22.924029,POINT (22.924029 39.343481),-294,600,294 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Ελληνιστική πόλη που ίδρυσε ο Δημήτριος Πολιορκητής με συνοικισμό παραλιακών οικισμών.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/540730,,540730,0.1 — 2026-08-14,curated_initial
city-aigai-macedonia,Αιγές,Αἰγαί,Aigai,city,polis,,,,Μακεδονία,Ελλάδα,GRC,Βεργίνα,40.480092,22.321872,POINT (22.321872 40.480092),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Πρώτη πρωτεύουσα και βασιλική νεκρόπολη των αρχαίων Μακεδόνων.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/491512,,491512,0.1 — 2026-08-14,curated_initial
city-dion,Δίον,Δῖον,Dion,city,polis,,,,Μακεδονία,Ελλάδα,GRC,Δίον Πιερίας,40.176388,22.491437,POINT (22.491437 40.176388),-500,600,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Ιερή και αστική έδρα των Μακεδόνων στους πρόποδες του Ολύμπου.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/491572,,491572,0.1 — 2026-08-14,curated_initial
city-thessalonica,Θεσσαλονίκη,Θεσσαλονίκη,Thessalonica,city,polis,,,,Μακεδονία,Ελλάδα,GRC,Θεσσαλονίκη,40.628342,22.952885,POINT (22.952885 40.628342),-315,600,315 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Πόλη που ίδρυσε ο Κάσσανδρος με συνοικισμό και εξελίχθηκε σε μεγάλο λιμάνι της Μακεδονίας.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/491741,,491741,0.1 — 2026-08-14,curated_initial
city-pella,Πέλλα,Πέλλα,Pella,city,polis,,,,Μακεδονία,Ελλάδα,GRC,Πέλλα,40.75435965,22.51822477,POINT (22.51822477 40.75435965),-500,600,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Πρωτεύουσα του μακεδονικού βασιλείου από τον 4ο αιώνα π.Χ. και γενέτειρα του Αλεξάνδρου.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/491687,,491687,0.1 — 2026-08-14,curated_initial
city-pydna,Πύδνα,Πύδνα,Pydna,city,polis,,,,Μακεδονία,Ελλάδα,GRC,Μακρύγιαλος Πιερίας,40.397569,22.614991,POINT (22.614991 40.397569),-700,600,700 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Μακεδονικό λιμάνι, γνωστό και από τη ρωμαϊκή νίκη επί του Περσέα το 168 π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/491703,,491703,0.1 — 2026-08-14,curated_initial
city-megara,Μέγαρα,Μέγαρα,Megara,city,polis,,,,Μεγαρίδα,Ελλάδα,GRC,Μέγαρα,37.985078,23.340163,POINT (23.340163 37.985078),-900,600,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,Πόλη μεταξύ Αττικής και Κορινθίας με εκτεταμένη αποικιακή δραστηριότητα.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570468,,570468,0.1 — 2026-08-14,curated_initial
city-messene,Μεσσήνη,Μεσσήνη,Messene,city,polis,,,,Μεσσηνία,Ελλάδα,GRC,Αρχαία Μεσσήνη,37.175304,21.920048,POINT (21.920048 37.175304),-369,600,369 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Νέα πρωτεύουσα των ελεύθερων Μεσσηνίων, ιδρυμένη από τον Επαμεινώνδα το 369 π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/570479,,570479,0.1 — 2026-08-14,curated_initial
city-pergamum,Πέργαμος,Πέργαμον,Pergamum,city,polis,,,,Μυσία,Τουρκία,TUR,"Bergama, İzmir",39.1325,27.184167,POINT (27.184167 39.1325),-400,700,400 π.Χ.–700 μ.Χ.,occupation_window,approximate,approximate,,,,,,,,,Οχυρή ελληνιστική πρωτεύουσα των Ατταλιδών και μεγάλο διοικητικό και πολιτιστικό κέντρο.,approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/550812,,550812,0.1 — 2026-08-14,curated_initial
city-lindos,Λίνδος,Λίνδος,Lindos,city,polis,,,,Ρόδος / Δωδεκάνησα,Ελλάδα,GRC,Λίνδος,36.091299,28.088298,POINT (28.088298 36.091299),-1000,600,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Μία από τις τρεις αρχαίες πόλεις της Ρόδου, με ισχυρή ναυτική και αποικιακή παράδοση.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/589913,,589913,0.1 — 2026-08-14,curated_initial
city-rhodes-city,Ρόδος,Ῥόδος,Rhodes,city,polis,,,,Ρόδος / Δωδεκάνησα,Ελλάδα,GRC,Ρόδος,36.443113,28.227611,POINT (28.227611 36.443113),-408,600,408 π.Χ.–600 μ.Χ. (όριο άτλαντα),occupation_window,approximate,display_cutoff,Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,,,,,,,,"Νέα ομοσπονδιακή πρωτεύουσα του νησιού, ιδρυμένη με συνοικισμό το 408/407 π.Χ.",approximate,high,Pleiades representative point,precise,site,,https://pleiades.stoa.org/places/590030,,590030,0.1 — 2026-08-14,curated_initial
