authority_id,authority_type,preferred_label_el,preferred_label_en,uri,source_id,review_state
dynasty-agnoste-oi-aiolides-anekoyn-ste-mythike-paradose,dynasty,Άγνωστη· οι Αιολίδες ανήκουν στη μυθική παράδοση,Unknown; the Aeolians belong to the mythic tradition,,src-odysseus-589898851f92,reviewed
dynasty-agnoste-oi-atreides-anekoyn-ste-mythike-paradose,dynasty,Άγνωστη· οι Ατρείδες ανήκουν στη μυθική παράδοση,Unknown; the Atreides belong to the mythic tradition,,src-whc-6306f630553d,reviewed
dynasty-agnoste-oi-erechtheides-anekoyn-ste-mythike-paradose,dynasty,Άγνωστη· οι Ερεχθείδες ανήκουν στη μυθική παράδοση,Unknown; the Erechtheids belong to mythic tradition,,src-whc-228f1be9c035,reviewed
dynasty-agnoste-oi-labdakides-anekoyn-ste-mythike-paradose,dynasty,Άγνωστη· οι Λαβδακίδες ανήκουν στη μυθική παράδοση,Unknown; the Labdacids belong to mythic tradition,,src-mthv-715d665b63b5,reviewed
dynasty-agnoste-oi-minyes-anekoyn-kyrios-ste-mythike-paradose,dynasty,Άγνωστη· οι Μινύες ανήκουν κυρίως στη μυθική παράδοση,Unknown; the Minyas belong mainly to the mythic tradition,,src-mthv-715d665b63b5,reviewed
dynasty-agnoste-oi-neleides-anekoyn-ste-mythike-paradose,dynasty,Άγνωστη· οι Νηλείδες ανήκουν στη μυθική παράδοση,Unknown; the Neleids belong to mythic tradition,,src-odysseus-00e2d87ae4a8,reviewed
dynasty-agnoste-oi-proitides-anekoyn-ste-mythike-paradose,dynasty,Άγνωστη· οι Προιτίδες ανήκουν στη μυθική παράδοση,Unknown; the Proitides belong to the mythic tradition,,src-whc-6306f630553d,reviewed
dynasty-aiakides,dynasty,Αιακίδες,Aeacids,,src-cambridge-96106a304cc6,reviewed
dynasty-antigonides,dynasty,Αντιγονίδες,Antigonids,,src-metmuseum-50fe20dc493f,reviewed
dynasty-antipatrides-kassandrides,dynasty,Αντιπατρίδες / Κασσανδρίδες,Antipatrids / Kassandrids,,src-metmuseum-50fe20dc493f,reviewed
dynasty-archaianaktides,dynasty,Αρχαιανακτίδες,Archaeanactids,,src-iranicaonline-4a607235e191,reviewed
dynasty-argeades,dynasty,Αργεάδες,Argeads,,src-metmuseum-89019924e8c3,reviewed
dynasty-argeades-temenides,dynasty,Αργεάδες / Τημενίδες,Argeads / Temenids,,src-whc-fd006971700c,reviewed
dynasty-ariarathides,dynasty,Αριαραθίδες,Ariarathids,,src-iranicaonline-0624b0b64cf3,reviewed
dynasty-ariobarzanides-katopin-archelaos,dynasty,Αριοβαρζανίδες· κατόπιν Αρχέλαος,Ariobarzanids; later Archelaus,,src-iranicaonline-0624b0b64cf3,reviewed
dynasty-attalides,dynasty,Ατταλίδες,Attalids,,src-metmuseum-50fe20dc493f,reviewed
dynasty-battiades,dynasty,Βαττιάδες,Battiads,,src-whc-52a1efeb60e3,reviewed
dynasty-diodotides,dynasty,Διοδοτίδες,Diodotids,,src-metmuseum-50fe20dc493f,reviewed
dynasty-dynasteia-toy-zipoite-kai-ton-nikomedon,dynasty,Δυναστεία του Ζιποίτη και των Νικομηδών,Dynasty of Zipoetes and the Nicomedes,,src-attalus-1b40f4436114,reviewed
dynasty-eykratides-kai-eliokleides,dynasty,Ευκρατίδες και Ήλιοκλείδες,Eucratids and Heliocleids,,src-iranicaonline-2bb61f112fc3,reviewed
dynasty-eythydemides,dynasty,Ευθυδημίδες,Euthydemids,,src-iranicaonline-d4697d4d5c1a,reviewed
dynasty-eythydemides-demetrides,dynasty,Ευθυδημίδες / Δημητρίδες,Euthydemids / Demetriads,,src-iranicaonline-612dff96c99c,reviewed
dynasty-ieron-b-kai-ieronides,dynasty,Ιέρων Β΄ και Ιερωνίδες,Hieron II and the Hieronids,,src-britishmuseum-d101eb623c92,reviewed
dynasty-lysimachides,dynasty,Λυσιμαχίδες,Lysimachids,,src-pleiades-501458,reviewed
dynasty-magas-bracheia-diadoche-demetrioy-toy-kalloy,dynasty,Μάγας· βραχεία διαδοχή Δημητρίου του Καλλού,Magas; brief succession of Demetrius the Fair,,src-persee-a9866e5e43d7,reviewed
dynasty-mithridatides,dynasty,Μιθριδατίδες,Mithridatids,,src-metmuseum-50fe20dc493f,reviewed
dynasty-mithridatides-toy-pontoy,dynasty,Μιθριδατίδες του Πόντου,Mithridatids of Pontus,,src-iranicaonline-4a607235e191,reviewed
dynasty-oikos-toy-menandroy-kai-agathokleias,dynasty,Οίκος του Μενάνδρου και Αγαθοκλείας,House of Menander and Agathokleia,,src-iranicaonline-612dff96c99c,reviewed
dynasty-orontides-erbandides,dynasty,Οροντίδες / Ερβανδίδες,Orontids / Ervandids,,src-whc-758c2c416617,reviewed
dynasty-pollaples-periphereiakes-dynasteies,dynasty,Πολλαπλές περιφερειακές δυναστείες,Multiple regional dynasties,,src-iranicaonline-612dff96c99c,reviewed
dynasty-ptolemaioi-lagides,dynasty,Πτολεμαίοι / Λαγίδες,Ptolemies / Lagids,,src-metmuseum-9200258a95cb,reviewed
dynasty-seleykides,dynasty,Σελευκίδες,Seleucids,,src-metmuseum-31540f5687cf,reviewed
dynasty-spartokides,dynasty,Σπαρτοκίδες,Spartocids,,src-encyclopediaofukraine-237e86aa1350,reviewed
dynasty-teykrides-kai-istorikes-basilikes-grammes-metaxy-toys-oi-eyagorides,dynasty,"Τευκρίδες και ιστορικές βασιλικές γραμμές, μεταξύ τους οι Ευαγορίδες","Teucrids and historical royal lines, including the Evagorids",,src-uni-muenster-0a0030be4d2a,reviewed
dynasty-topikes-paphiakes-basilikes-genees-nikokleides-sten-ystere-phase,dynasty,Τοπικές παφιακές βασιλικές γενεές· Νικοκλείδες στην ύστερη φάση,Local Paphian royal lines; the Nicocleids in the later phase,,src-websites-d5246844b076,reviewed
polity-achaimenidike-satrapeia-kappadokias,polity,Αχαιμενιδική σατραπεία Καππαδοκίας,Achaemenid satrapy of Cappadocia,,src-iranicaonline-0624b0b64cf3,reviewed
polity-apoikiake-egkatastase-theraion-kai-topikes-libykes-koinotetes,polity,Αποικιακή εγκατάσταση Θηραίων και τοπικές λιβυκές κοινότητες,Colonial settlement of Thira and local Libyan communities,,src-whc-52a1efeb60e3,reviewed
polity-argeades-kai-metalexandreia-antibasileia,polity,Αργεάδες και μεταλεξάνδρεια αντιβασιλεία,Argeades and post-Alexandrian regency,,src-metmuseum-50fe20dc493f,reviewed
polity-aytokratoria-toy-alexandroy,polity,Αυτοκρατορία του Αλεξάνδρου,Alexander's Empire,,src-whc-fd006971700c,reviewed
polity-aytokratoria-toy-alexandroy-kai-satrapeies-ton-diadochon,polity,Αυτοκρατορία του Αλεξάνδρου και σατραπείες των Διαδόχων,Empire of Alexander and satrapies of the Successors,,src-metmuseum-31540f5687cf,reviewed
polity-basileio-tes-kappadokias-ton-ariarathidon,polity,Βασίλειο της Καππαδοκίας των Αριαραθιδών,Kingdom of Cappadocia of the Ariarathids,,src-iranicaonline-0624b0b64cf3,reviewed
polity-basileio-tes-makedonias-ton-argeadon,polity,Βασίλειο της Μακεδονίας των Αργεαδών,Kingdom of Macedonia of the Argeadians,,src-metmuseum-89019924e8c3,reviewed
polity-basileio-toy-kimmerioy-bosporoy-ton-archaianaktidon,polity,Βασίλειο του Κιμμερίου Βοσπόρου των Αρχαιανακτιδών,Kingdom of the Cimmerian Bosphorus of the Archeanaktids,,src-encyclopediaofukraine-237e86aa1350,reviewed
polity-basileio-toy-kimmerioy-bosporoy-ton-spartokidon,polity,Βασίλειο του Κιμμερίου Βοσπόρου των Σπαρτοκιδών,Kingdom of the Cimmerian Bosphorus of the Spartakids,,src-iranicaonline-4a607235e191,reviewed
polity-bracheia-diadoche-demetrioy-toy-kalloy-kai-epanentaxe-stoys-ptolemaioys,polity,Βραχεία διαδοχή Δημητρίου του Καλλού και επανένταξη στους Πτολεμαίους,Brief succession of Demetrius the Fair and reintegration into the Ptolemaic kingdom,,src-persee-a9866e5e43d7,reviewed
polity-bracheies-basileies-demetrioy-pyrroy-kai-lysimachoy,polity,"Βραχείες βασιλείες Δημητρίου, Πύρρου και Λυσιμάχου","Short reigns of Demetrius, Pyrrhus and Lysimachus",,src-metmuseum-50fe20dc493f,reviewed
polity-ellenobaktriane-epektase-notia-toy-indokoys,polity,Ελληνοβακτριανή επέκταση νότια του Ινδοκούς,Greco-Bactrian expansion south of the Hindu Kush,,src-iranicaonline-612dff96c99c,reviewed
polity-ellenobaktriano-basileio-ton-diodotidon,polity,Ελληνοβακτριανό Βασίλειο των Διοδοτιδών,Greco-Bactrian Kingdom of the Diodotids,,src-iranicaonline-d4697d4d5c1a,reviewed
polity-ellenobaktriano-basileio-ton-eythydemidon,polity,Ελληνοβακτριανό Βασίλειο των Ευθυδημιδών,Greco-Bactrian Kingdom of the Euthydemides,,src-metmuseum-50fe20dc493f,reviewed
polity-eykratidike-phase-ste-baktriane-kai-indoellenikoi-kladoi,polity,Ευκρατιδική φάση στη Βακτριανή και ινδοελληνικοί κλάδοι,Eucratid phase in Bactrian and Indo-Greek branches,,src-iranicaonline-d4697d4d5c1a,reviewed
polity-ieronymos-kai-katopin-romaike-kataktese,polity,Ιερώνυμος και κατόπιν ρωμαϊκή κατάκτηση,Hieronymus and subsequent Roman conquest,,src-britishmuseum-d101eb623c92,reviewed
polity-indoelleniko-basileio-toy-menandroy-kai-antipales-grammes,polity,Ινδοελληνικό βασίλειο του Μενάνδρου και αντίπαλες γραμμές,Menander's Indo-Hellenic Kingdom and Rival Lines,,src-iranicaonline-612dff96c99c,reviewed
polity-indoelleniko-basileio-toy-menandroy-kai-sygchrones-dynasteies,polity,Ινδοελληνικό βασίλειο του Μενάνδρου και σύγχρονες δυναστείες,Indo-Greek kingdom of Menander and contemporaneous dynasties,,src-iranicaonline-612dff96c99c,reviewed
polity-indoskythika-kai-indoparthika-basileia,polity,Ινδοσκυθικά και ινδοπαρθικά βασίλεια,Indo-Scythian and Indo-Parthian kingdoms,,src-iranicaonline-612dff96c99c,reviewed
polity-kappadokike-satrapeia-kai-periphereiakes-dynasteies,polity,Καππαδοκική σατραπεία και περιφερειακές δυναστείες,Cappadocian satrapy and regional dynasties,,src-metmuseum-50fe20dc493f,reviewed
polity-koino-ton-epeiroton,polity,Κοινό των Ηπειρωτών,Epirote League,,src-cambridge-96106a304cc6,reviewed
polity-kyrenaike-politeia-me-me-monarchikoys-thesmoys,polity,Κυρηναϊκή πολιτεία με μη μοναρχικούς θεσμούς,Cyrenaic state with non-monarchical institutions,,src-whc-52a1efeb60e3,reviewed
polity-kyriarchia-gioyetzi-kai-allon-nomadikon-omadon-ste-baktriane,polity,Κυριαρχία Γιουετζί και άλλων νομαδικών ομάδων στη Βακτριανή,Rule of the Yuezhi and other nomadic groups in Bactria,,src-iranicaonline-2bb61f112fc3,reviewed
polity-mesoelladike-koinoteta-tes-akropoles,polity,Μεσοελλαδική κοινότητα της Ακρόπολης,Middle Helladic community of the Acropolis,,src-whc-228f1be9c035,reviewed
polity-mesoelladikes-kai-proimes-mykenaikes-egemonies,polity,Μεσοελλαδικές και πρώιμες μυκηναϊκές ηγεμονίες,Middle Helladic and early Mycenaean hegemonies,,src-whc-6306f630553d,reviewed
polity-mesoelladikes-kai-proimes-mykenaikes-koinotetes,polity,Μεσοελλαδικές και πρώιμες μυκηναϊκές κοινότητες,Middle Helladic and early Mycenaean communities,,src-whc-6306f630553d,reviewed
polity-metabatikes-basileies-ste-makedonia-meta-toys-diadochoys,polity,Μεταβατικές βασιλείες στη Μακεδονία μετά τους Διαδόχους,Transitional kingdoms in Macedonia after the Successors,,src-metmuseum-50fe20dc493f,reviewed
polity-metagathokleideia-astatheia-stis-syrakoyses,polity,Μεταγαθοκλείδεια αστάθεια στις Συρακούσες,Post-Agathoclean instability at Syracuse,,src-britishmuseum-073d3f0a8ae4,reviewed
polity-metalexandreia-antibasileia-kai-basileia-ton-diadochon,polity,Μεταλεξάνδρεια αντιβασιλεία και βασίλεια των Διαδόχων,Post-Alexandrian viceroyalty and successor kingdoms,,src-metmuseum-89019924e8c3,reviewed
polity-metanaktorike-krete-kai-periphereiaka-kentra,polity,Μετανακτορική Κρήτη και περιφερειακά κέντρα,Post-palatial Crete and regional centres,,src-odysseus-9e3ae0cba911,reviewed
polity-metanaktorike-tiryntha-kai-argolikes-koinotetes,polity,Μετανακτορική Τίρυνθα και αργολικές κοινότητες,Post-palatial Tiryns and Argolic communities,,src-whc-6306f630553d,reviewed
polity-metanaktorikes-boiotikes-koinotetes,polity,Μετανακτορικές βοιωτικές κοινότητες,Post-palatial Boeotian communities,,src-mthv-715d665b63b5,reviewed
polity-metanaktorikes-koinotetes-tes-argolidas,polity,Μετανακτορικές κοινότητες της Αργολίδας,Post-palatial communities of Argolis,,src-whc-6306f630553d,reviewed
polity-metanaktorikes-koinotetes-tes-messenias,polity,Μετανακτορικές κοινότητες της Μεσσηνίας,Post-palatial communities of Messenia,,src-odysseus-00e2d87ae4a8,reviewed
polity-metanaktorikes-thessalikes-koinotetes,polity,Μετανακτορικές θεσσαλικές κοινότητες,Post-palatial Thessalian communities,,src-odysseus-589898851f92,reviewed
polity-metapyrreia-politike-astatheia-stis-syrakoyses,polity,Μεταπύρρεια πολιτική αστάθεια στις Συρακούσες,Post-Pyrrhic political instability in Syracuse,,src-britishmuseum-d101eb623c92,reviewed
polity-molossikes-phyletikes-egemonies,polity,Μολοσσικές φυλετικές ηγεμονίες,Molossian tribal hegemonies,,src-cambridge-96106a304cc6,reviewed
polity-neoanaktoriko-minoiko-kratos-tes-knosoy,polity,Νεοανακτορικό μινωικό κράτος της Κνωσού,Neopalatial Minoan state of Knossos,,src-odysseus-9e3ae0cba911,reviewed
polity-pontiake-mithridatike-phase-toy-bosporoy,polity,Ποντιακή-μιθριδατική φάση του Βοσπόρου,Pontic–Mithridatic phase of the Bosporan Kingdom,,src-encyclopediaofukraine-237e86aa1350,reviewed
polity-proima-indoellenika-basileia,polity,Πρώιμα ινδοελληνικά βασίλεια,Early Indo-Greek kingdoms,,src-iranicaonline-612dff96c99c,reviewed
polity-proime-epoche-toy-sideroy-sten-athena,polity,Πρώιμη Εποχή του Σιδήρου στην Αθήνα,Early Iron Age in Athens,,src-whc-228f1be9c035,reviewed
polity-proimes-makedonikes-egemonies,polity,Πρώιμες μακεδονικές ηγεμονίες,Early Macedonian hegemonies,,src-whc-fd006971700c,reviewed
polity-proimes-mykenaikes-koinotetes-tes-boiotias,polity,Πρώιμες μυκηναϊκές κοινότητες της Βοιωτίας,Early Mycenaean communities of Boeotia,,src-mthv-715d665b63b5,reviewed
polity-proimes-mykenaikes-koinotetes-tes-dytikes-messenias,polity,Πρώιμες μυκηναϊκές κοινότητες της δυτικής Μεσσηνίας,Early Mycenaean communities of western Messinia,,src-odysseus-00e2d87ae4a8,reviewed
polity-proimes-mykenaikes-koinotetes-tes-kopaidas,polity,Πρώιμες μυκηναϊκές κοινότητες της Κωπαΐδας,Early Mycenaean communities of Kopaida,,src-mthv-715d665b63b5,reviewed
polity-proimes-mykenaikes-koinotetes-tes-magnesias,polity,Πρώιμες μυκηναϊκές κοινότητες της Μαγνησίας,Early Mycenaean communities of Magnesia,,src-odysseus-589898851f92,reviewed
polity-ptolemaike-dioikese-tes-kyproy,polity,Πτολεμαϊκή διοίκηση της Κύπρου,Ptolemaic administration of Cyprus,,src-websites-d5246844b076,reviewed
polity-ptolemaike-dioikese-tes-kyrenaikes,polity,Πτολεμαϊκή διοίκηση της Κυρηναϊκής,Ptolemaic administration of Cyrenaica,,src-persee-a9866e5e43d7,reviewed
polity-romaika-exartemeno-basileio-toy-bosporoy,polity,Ρωμαϊκά εξαρτημένο Βασίλειο του Βοσπόρου,Roman dependent Kingdom of the Bosphorus,,src-iranicaonline-4a607235e191,reviewed
polity-romaike-eparchia-aigyptos,polity,Ρωμαϊκή επαρχία Αίγυπτος,Roman province of Egypt,,src-metmuseum-9200258a95cb,reviewed
polity-romaike-eparchia-asia,polity,Ρωμαϊκή επαρχία Ασία,Roman province of Asia,,src-metmuseum-50fe20dc493f,reviewed
polity-romaike-eparchia-bithynia,polity,Ρωμαϊκή επαρχία Βιθυνία,Roman province of Bithynia,,src-attalus-1b40f4436114,reviewed
polity-romaike-eparchia-bithynia-kai-pontos,polity,Ρωμαϊκή επαρχία Βιθυνία και Πόντος,Roman province of Bithynia and Pontus,,src-metmuseum-50fe20dc493f,reviewed
polity-romaike-eparchia-kappadokia,polity,Ρωμαϊκή επαρχία Καππαδοκία,Roman province of Cappadocia,,src-iranicaonline-0624b0b64cf3,reviewed
polity-romaike-eparchia-syria,polity,Ρωμαϊκή επαρχία Συρία,Roman province of Syria,,src-whc-758c2c416617,reviewed
polity-romaike-syria-parthiko-basileio-kai-alla-periphereiaka-krate,polity,"Ρωμαϊκή Συρία, Παρθικό βασίλειο και άλλα περιφερειακά κράτη","Roman Syria, Parthian kingdom and other peripheral states",,src-metmuseum-31540f5687cf,reviewed
polity-romaikes-merides-tes-makedonias-kai-katopin-eparchia,polity,Ρωμαϊκές μερίδες της Μακεδονίας και κατόπιν επαρχία,Roman districts of Macedonia and later the Roman province,,src-metmuseum-50fe20dc493f,reviewed
polity-satrapeia-aigyptoy-tes-aytokratorias-toy-alexandroy,polity,Σατραπεία Αιγύπτου της αυτοκρατορίας του Αλεξάνδρου,Egyptian satrapy of Alexander's empire,,src-metmuseum-9200258a95cb,reviewed
