chronology_id,entity_id,start_year,end_year,start_precision,end_precision,temporal_precision,chronology_basis,display_cutoff,label_el,label_en,note_el,note_en,source_id,review_state
chronology-city-dion-primary,city-dion,-500,600,approximate,display_cutoff,approximate,occupation_window,1,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),500 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-491572,reviewed
chronology-city-epidaurus-city-primary,city-epidaurus-city,-800,600,approximate,display_cutoff,approximate,occupation_window,1,800 π.Χ.–600 μ.Χ. (όριο άτλαντα),800 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570228,reviewed
chronology-city-eretria-euboea-primary,city-eretria-euboea,-850,600,approximate,display_cutoff,approximate,occupation_window,1,850 π.Χ.–600 μ.Χ. (όριο άτλαντα),850 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-579925,reviewed
chronology-city-gortyn-primary,city-gortyn,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-589796,reviewed
chronology-city-knossos-primary,city-knossos,-2000,600,approximate,display_cutoff,approximate,occupation_window,1,2000 π.Χ.–600 μ.Χ. (όριο άτλαντα),2000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-589872,reviewed
chronology-city-kos-city-primary,city-kos-city,-366,600,approximate,display_cutoff,approximate,occupation_window,1,366 π.Χ.–600 μ.Χ. (όριο άτλαντα),366 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-599728,reviewed
chronology-city-larissa-thessaly-primary,city-larissa-thessaly,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-540905,reviewed
chronology-city-lindos-primary,city-lindos,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-589913,reviewed
chronology-city-mantinea-primary,city-mantinea,-500,600,approximate,display_cutoff,approximate,occupation_window,1,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),500 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570459,reviewed
chronology-city-megalopolis-primary,city-megalopolis,-371,600,approximate,display_cutoff,approximate,occupation_window,1,371 π.Χ.–600 μ.Χ. (όριο άτλαντα),371 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570467,reviewed
chronology-city-megara-primary,city-megara,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570468,reviewed
chronology-city-messene-primary,city-messene,-369,600,approximate,display_cutoff,approximate,occupation_window,1,369 π.Χ.–600 μ.Χ. (όριο άτλαντα),369 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570479,reviewed
chronology-city-mytilene-primary,city-mytilene,-1050,600,approximate,display_cutoff,approximate,occupation_window,1,1050 π.Χ.–600 μ.Χ. (όριο άτλαντα),1050 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-550763,reviewed
chronology-city-naxos-cyclades-primary,city-naxos-cyclades,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-599821,reviewed
chronology-city-olynthus-primary,city-olynthus,-650,-348,approximate,approximate,approximate,occupation_window,0,650 π.Χ.–348 π.Χ.,650 BCE–348 BCE,,,src-pleiades-491678,reviewed
chronology-city-patrae-primary,city-patrae,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570567,reviewed
chronology-city-pella-primary,city-pella,-500,600,approximate,display_cutoff,approximate,occupation_window,1,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),500 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-491687,reviewed
chronology-city-pergamum-primary,city-pergamum,-400,700,approximate,approximate,approximate,occupation_window,0,400 π.Χ.–700 μ.Χ.,400 BCE–700 CE,,,src-pleiades-550812,reviewed
chronology-city-pherae-thessaly-primary,city-pherae-thessaly,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-541044,reviewed
chronology-city-piraeus-primary,city-piraeus,-493,600,approximate,display_cutoff,approximate,occupation_window,1,493 π.Χ.–600 μ.Χ. (όριο άτλαντα),493 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-580062,reviewed
chronology-city-ptolemais-cyrenaica-primary,city-ptolemais-cyrenaica,-300,600,approximate,display_cutoff,approximate,occupation_window,1,300 π.Χ.–600 μ.Χ. (όριο άτλαντα),300 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-373879,needs_review
chronology-city-pydna-primary,city-pydna,-700,600,approximate,display_cutoff,approximate,occupation_window,1,700 π.Χ.–600 μ.Χ. (όριο άτλαντα),700 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-491703,reviewed
chronology-city-rhodes-city-primary,city-rhodes-city,-408,600,approximate,display_cutoff,approximate,occupation_window,1,408 π.Χ.–600 μ.Χ. (όριο άτλαντα),408 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-590030,reviewed
chronology-city-samos-city-primary,city-samos-city,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-599925,reviewed
chronology-city-sicyon-primary,city-sicyon,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570668,reviewed
chronology-city-smyrna-primary,city-smyrna,-300,600,approximate,display_cutoff,approximate,occupation_window,1,300 π.Χ.–600 μ.Χ. (όριο άτλαντα),300 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-550893,reviewed
chronology-city-sparta-primary,city-sparta,-950,600,approximate,display_cutoff,approximate,occupation_window,1,950 π.Χ.–600 μ.Χ. (όριο άτλαντα),950 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570685,reviewed
chronology-city-tegea-primary,city-tegea,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-570707,reviewed
chronology-city-thebes-boeotia-primary,city-thebes-boeotia,-1400,600,approximate,display_cutoff,approximate,occupation_window,1,1400 π.Χ.–600 μ.Χ. (όριο άτλαντα),1400 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-541138,reviewed
chronology-city-thera-city-primary,city-thera-city,-900,600,approximate,display_cutoff,approximate,occupation_window,1,900 π.Χ.–600 μ.Χ. (όριο άτλαντα),900 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-599971,reviewed
chronology-city-thessalonica-primary,city-thessalonica,-315,600,approximate,display_cutoff,approximate,occupation_window,1,315 π.Χ.–600 μ.Χ. (όριο άτλαντα),315 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-491741,reviewed
chronology-colony-abydos-primary,colony-abydos,-670,600,approximate,display_cutoff,approximate,occupation_window,1,670 π.Χ.–600 μ.Χ. (όριο άτλαντα),670 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-501325,reviewed
chronology-colony-akragas-primary,colony-akragas,-580,600,approximate,display_cutoff,approximate,occupation_window,1,580 π.Χ.–600 μ.Χ. (όριο άτλαντα),580 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-462086,reviewed
chronology-colony-ambracia-primary,colony-ambracia,-625,600,approximate,display_cutoff,approximate,occupation_window,1,625 π.Χ.–600 μ.Χ. (όριο άτλαντα),625 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-530794,reviewed
chronology-colony-amisus-primary,colony-amisus,-564,600,approximate,display_cutoff,approximate,occupation_window,1,564 π.Χ.–600 μ.Χ. (όριο άτλαντα),564 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-857024,reviewed
chronology-colony-amphipolis-primary,colony-amphipolis,-437,600,approximate,display_cutoff,approximate,occupation_window,1,437 π.Χ.–600 μ.Χ. (όριο άτλαντα),437 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-501347,reviewed
chronology-colony-ancona-primary,colony-ancona,-387,600,approximate,display_cutoff,approximate,occupation_window,1,387 π.Χ.–600 μ.Χ. (όριο άτλαντα),387 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-413014,reviewed
chronology-colony-apollonia-cyrenaica-primary,colony-apollonia-cyrenaica,-600,600,approximate,display_cutoff,approximate,occupation_window,1,600 π.Χ.–600 μ.Χ. (όριο άτλαντα),600 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-373732,reviewed
chronology-colony-apollonia-illyria-primary,colony-apollonia-illyria,-588,600,approximate,display_cutoff,approximate,occupation_window,1,588 π.Χ.–600 μ.Χ. (όριο άτλαντα),588 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-481728,reviewed
chronology-colony-apollonia-pontica-primary,colony-apollonia-pontica,-610,600,approximate,display_cutoff,approximate,occupation_window,1,610 π.Χ.–600 μ.Χ. (όριο άτλαντα),610 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-216706,reviewed
chronology-colony-assos-primary,colony-assos,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-550463,reviewed
chronology-colony-barca-cyrenaica-primary,colony-barca-cyrenaica,-560,600,approximate,display_cutoff,approximate,occupation_window,1,560 π.Χ.–600 μ.Χ. (όριο άτλαντα),560 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-373750,reviewed
chronology-colony-byzantium-primary,colony-byzantium,-657,330,approximate,approximate,approximate,occupation_window,0,657 π.Χ.–330 μ.Χ.,657 BCE–330 CE,,,src-pleiades-520985,reviewed
chronology-colony-callatis-primary,colony-callatis,-500,600,approximate,display_cutoff,approximate,occupation_window,1,500 π.Χ.–600 μ.Χ. (όριο άτλαντα),500 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-216744,reviewed
chronology-colony-catana-primary,colony-catana,-729,600,approximate,display_cutoff,approximate,occupation_window,1,729 π.Χ.–600 μ.Χ. (όριο άτλαντα),729 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-462270,reviewed
chronology-colony-chalcedon-primary,colony-chalcedon,-685,600,approximate,display_cutoff,approximate,occupation_window,1,685 π.Χ.–600 μ.Χ. (όριο άτλαντα),685 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-520988,reviewed
chronology-colony-chersonesus-taurica-primary,colony-chersonesus-taurica,-422,600,approximate,display_cutoff,approximate,occupation_window,1,422 π.Χ.–600 μ.Χ. (όριο άτλαντα),422 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-226564,reviewed
chronology-colony-clazomenae-primary,colony-clazomenae,-1000,600,approximate,display_cutoff,approximate,occupation_window,1,1000 π.Χ.–600 μ.Χ. (όριο άτλαντα),1000 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-550651,reviewed
chronology-colony-cnidus-primary,colony-cnidus,-360,700,approximate,approximate,approximate,occupation_window,0,360 π.Χ.–700 μ.Χ.,360 BCE–700 CE,,,src-pleiades-599575,reviewed
chronology-colony-colophon-primary,colony-colophon,-1050,600,approximate,display_cutoff,approximate,occupation_window,1,1050 π.Χ.–600 μ.Χ. (όριο άτλαντα),1050 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-599577,reviewed
chronology-colony-corcyra-primary,colony-corcyra,-734,600,approximate,display_cutoff,approximate,occupation_window,1,734 π.Χ.–600 μ.Χ. (όριο άτλαντα),734 BCE–600 CE (atlas display cutoff),Το 600 μ.Χ. είναι το συμβατικό άνω όριο της παρούσας αρχαίας χρονογραμμής και όχι χρονολογία καταστροφής ή εγκατάλειψης.,"The year 600 CE is the conventional upper limit of this ancient timeline, not a date of destruction or abandonment.",src-pleiades-530834,reviewed
