relationship_id,subject_entity_id,predicate,object_entity_id,object_authority_id,object_label_el,object_label_en,certainty,source_id,migration_evidence_el,review_state
rel-19a1e41cfffe,kingdom-epirus-aeacid,succeeded_by,,polity-koino-ton-epeiroton,Κοινό των Ηπειρωτών,Epirote League,medium,src-cambridge-96106a304cc6,successor_el: Κοινό των Ηπειρωτών,reviewed
rel-1b02370e9b25,colony-neapolis-campania,founded_from,colony-cumae-campania,,Κύμη Καμπανίας,Cumae,medium,src-pleiades-433014,metropolis_el: Κύμη Καμπανίας,reviewed
rel-1bbe5532dbdc,sanctuary-croton-hera-lacinia-sanctuary,cult_of,,deity_or_cult-era-lakinia,Ήρα Λακινία,Hera Lacinia,medium,src-pleiades-452332,deity_or_cult_el: Ήρα Λακινία,reviewed
rel-1cde586c00a0,sanctuary-locri-mannella-persephone-sanctuary,associated_with_settlement,colony-locri-epizephyrii,,Λοκροί Επιζεφύριοι,Locri Epizephyrii,high,src-museoarcheologicoreggiocalabria-a34e7a2bfa16,Ρητή επιμελητική σύνδεση του ιερού της Mannella με τους Επιζεφύριους Λοκρούς.,reviewed
rel-1cfd9a22f9b1,kingdom-cappadocia-ariarathid,preceded_by,,polity-achaimenidike-satrapeia-kappadokias,Αχαιμενιδική σατραπεία Καππαδοκίας,Achaemenid satrapy of Cappadocia,medium,src-iranicaonline-0624b0b64cf3,predecessor_el: Αχαιμενιδική σατραπεία Καππαδοκίας,reviewed
rel-1f8a32f05d76,sanctuary-lindos-athena-sanctuary,associated_with_settlement,city-lindos,,Λίνδος,Lindos,high,src-pleiades-414067217,Ρητή επιμελητική σύνδεση του ιερού της Αθηνάς Λινδίας με τη Λίνδο.,reviewed
rel-1fbc4ff082bb,kingdom-epirus-aeacid,representative_center,,settlement-dodone,Δωδώνη,Dodona,high,src-cambridge-96106a304cc6,representative_center_el: Δωδώνη,reviewed
rel-20e2c19b8bfa,colony-amisus,founded_from,colony-miletus,,Μίλητος,Miletus,medium,src-pleiades-857024,metropolis_el: Μίλητος,reviewed
rel-218735b4d11c,sanctuary-hierapolis-ploutonion,cult_of,,deity_or_cult-ployton-kai-kore,Πλούτων και Κόρη,Plouton and Kore,medium,src-pleiades-232079424,deity_or_cult_el: Πλούτων και Κόρη,reviewed
rel-21df7dff088c,colony-corcyra,founded_from,city-corinth,,Κόρινθος,Corinth,medium,src-pleiades-530834,metropolis_el: Κόρινθος,reviewed
rel-21e7126b4806,sanctuary-bassae-apollo-epikourios,cult_of,,deity_or_cult-apollon-epikoyrios,Απόλλων Επικούριος,Apollo Epicurius,medium,src-pleiades-570148,deity_or_cult_el: Απόλλων Επικούριος,reviewed
rel-22a9fe37e271,kingdom-pylos-palatial,preceded_by,,polity-proimes-mykenaikes-koinotetes-tes-dytikes-messenias,Πρώιμες μυκηναϊκές κοινότητες της δυτικής Μεσσηνίας,Early Mycenaean communities of western Messinia,medium,src-odysseus-00e2d87ae4a8,predecessor_el: Πρώιμες μυκηναϊκές κοινότητες της δυτικής Μεσσηνίας,reviewed
rel-236bc9d43c4e,kingdom-orchomenos-palatial,ruled_by_dynasty,,dynasty-agnoste-oi-minyes-anekoyn-kyrios-ste-mythike-paradose,Άγνωστη· οι Μινύες ανήκουν κυρίως στη μυθική παράδοση,Unknown; the Minyas belong mainly to the mythic tradition,medium,src-mthv-715d665b63b5,dynasty_el: Άγνωστη· οι Μινύες ανήκουν κυρίως στη μυθική παράδοση,reviewed
rel-243275dcc200,kingdom-mycenae-palatial,representative_center,,settlement-mykenes,Μυκήνες,Mycenae,high,src-whc-6306f630553d,representative_center_el: Μυκήνες,reviewed
rel-274596958d0b,sanctuary-rhodes-zeus-atabyrios-sanctuary,cult_of,,deity_or_cult-zeys-atabyrios,Ζευς Αταβύριος,Zeus Atabyrios,medium,src-pleiades-590099,deity_or_cult_el: Ζευς Αταβύριος,reviewed
rel-27b7262cd5e8,sanctuary-palaepaphos-aphrodite-sanctuary,cult_of,,deity_or_cult-aphrodite-paphia,Αφροδίτη Παφία,Aphrodite Paphia,medium,src-pleiades-828989863,deity_or_cult_el: Αφροδίτη Παφία,reviewed
rel-285a72d0b590,kingdom-ptolemaic-egypt,preceded_by,,polity-satrapeia-aigyptoy-tes-aytokratorias-toy-alexandroy,Σατραπεία Αιγύπτου της αυτοκρατορίας του Αλεξάνδρου,Egyptian satrapy of Alexander's empire,medium,src-metmuseum-9200258a95cb,predecessor_el: Σατραπεία Αιγύπτου της αυτοκρατορίας του Αλεξάνδρου,reviewed
rel-28d53fd5308e,colony-byzantium,founded_from,city-megara,,Μέγαρα,Megara,medium,src-pleiades-520985,metropolis_el: Μέγαρα,reviewed
rel-296baa3bab8c,kingdom-lysimachid,ruled_by_dynasty,,dynasty-lysimachides,Λυσιμαχίδες,Lysimachids,medium,src-pleiades-501458,dynasty_el: Λυσιμαχίδες,reviewed
rel-2c8ef8d9da86,kingdom-cappadocia-ariarathid,ruled_by_dynasty,,dynasty-ariarathides,Αριαραθίδες,Ariarathids,medium,src-iranicaonline-0624b0b64cf3,dynasty_el: Αριαραθίδες,reviewed
rel-2cf124c88b18,sanctuary-chersonesos-parthenos-sanctuary,associated_with_settlement,colony-chersonesus-taurica,,Χερσόνησος Ταυρική,Chersonesus Taurica,high,src-whc-329a28f5c851,Ρητή επιμελητική σύνδεση του ιερού με την Ταυρική Χερσόνησο.,reviewed
rel-2d26241359f0,kingdom-commagene,representative_center,,settlement-samosata,Σαμόσατα,Samosata,high,src-whc-758c2c416617,representative_center_el: Σαμόσατα,reviewed
rel-2db42de70148,sanctuary-akragas-concordia-temple-sanctuary,cult_of,,deity_or_cult-agnoste-archaia-aphierose,Άγνωστη αρχαία αφιέρωση,Unknown ancient dedication,medium,src-pleiades-943504072,deity_or_cult_el: Άγνωστη αρχαία αφιέρωση,reviewed
rel-2e02630eb1c2,kingdom-indo-greek-late,succeeded_by,,polity-indoskythika-kai-indoparthika-basileia,Ινδοσκυθικά και ινδοπαρθικά βασίλεια,Indo-Scythian and Indo-Parthian kingdoms,medium,src-iranicaonline-612dff96c99c,successor_el: Ινδοσκυθικά και ινδοπαρθικά βασίλεια,reviewed
rel-2e9f610595d5,kingdom-bithynia,ruled_by_dynasty,,dynasty-dynasteia-toy-zipoite-kai-ton-nikomedon,Δυναστεία του Ζιποίτη και των Νικομηδών,Dynasty of Zipoetes and the Nicomedes,medium,src-attalus-1b40f4436114,dynasty_el: Δυναστεία του Ζιποίτη και των Νικομηδών,reviewed
rel-2f08e052a65f,colony-barca-cyrenaica,founded_from,colony-cyrene,,Κυρήνη,Cyrene,medium,src-pleiades-373750,metropolis_el: Κυρήνη,reviewed
rel-3000f9f3951c,kingdom-cappadocia-ariarathid,succeeded_by,,polity-ystero-pelateiako-basileio-tes-kappadokias,Ύστερο πελατειακό βασίλειο της Καππαδοκίας,Late Client Kingdom of Cappadocia,medium,src-iranicaonline-0624b0b64cf3,successor_el: Ύστερο πελατειακό βασίλειο της Καππαδοκίας,reviewed
rel-3036314c2390,kingdom-thebes-palatial,ruled_by_dynasty,,dynasty-agnoste-oi-labdakides-anekoyn-ste-mythike-paradose,Άγνωστη· οι Λαβδακίδες ανήκουν στη μυθική παράδοση,Unknown; the Labdacids belong to mythic tradition,medium,src-mthv-715d665b63b5,dynasty_el: Άγνωστη· οι Λαβδακίδες ανήκουν στη μυθική παράδοση,reviewed
rel-31d8dcfa97be,kingdom-cappadocia-ariarathid,representative_center,,settlement-mazaka,Μάζακα,Mazaca,high,src-iranicaonline-0624b0b64cf3,representative_center_el: Μάζακα,reviewed
rel-320a5ccad39d,colony-clazomenae,founded_from,,settlement-athena-ionike-paradose,Αθήνα (ιωνική παράδοση),Athens (Ionic tradition),medium,src-pleiades-550651,metropolis_el: Αθήνα (ιωνική παράδοση),reviewed
rel-33ef4c50383d,sanctuary-menelaion-sparta,cult_of,,deity_or_cult-elene-kai-menelaos,Ελένη και Μενέλαος,Helen and Menelaus,medium,src-pleiades-570477,deity_or_cult_el: Ελένη και Μενέλαος,reviewed
rel-34668547652b,kingdom-macedon-antigonid,representative_center,city-pella,,Πέλλα,Pella,high,src-metmuseum-50fe20dc493f,representative_center_el: Πέλλα,reviewed
rel-34d296e3bd3e,kingdom-macedon-antigonid,succeeded_by,,polity-romaikes-merides-tes-makedonias-kai-katopin-eparchia,Ρωμαϊκές μερίδες της Μακεδονίας και κατόπιν επαρχία,Roman districts of Macedonia and later the Roman province,medium,src-metmuseum-50fe20dc493f,successor_el: Ρωμαϊκές μερίδες της Μακεδονίας και κατόπιν επαρχία,reviewed
rel-353cbeda2417,kingdom-pylos-palatial,ruled_by_dynasty,,dynasty-agnoste-oi-neleides-anekoyn-ste-mythike-paradose,Άγνωστη· οι Νηλείδες ανήκουν στη μυθική παράδοση,Unknown; the Neleids belong to mythic tradition,medium,src-odysseus-00e2d87ae4a8,dynasty_el: Άγνωστη· οι Νηλείδες ανήκουν στη μυθική παράδοση,reviewed
rel-36725706b7a9,colony-cyme-aeolis,founded_from,,settlement-lokrida-kai-thessalia-aiolike-paradose,Λοκρίδα και Θεσσαλία (αιολική παράδοση),Locris and Thessaly (Aeolian tradition),medium,src-pleiades-550506,metropolis_el: Λοκρίδα και Θεσσαλία (αιολική παράδοση),reviewed
rel-379310fc62aa,kingdom-indo-greek-late,preceded_by,,polity-indoelleniko-basileio-toy-menandroy-kai-sygchrones-dynasteies,Ινδοελληνικό βασίλειο του Μενάνδρου και σύγχρονες δυναστείες,Indo-Greek kingdom of Menander and contemporaneous dynasties,medium,src-iranicaonline-612dff96c99c,predecessor_el: Ινδοελληνικό βασίλειο του Μενάνδρου και σύγχρονες δυναστείες,reviewed
rel-391e097c25a1,sanctuary-perachora-heraion,cult_of,,deity_or_cult-era-akraia-kai-era-limenia,Ήρα Ακραία και Ήρα Λιμενία,Hera Akraia and Hera Limenia,medium,src-pleiades-570288,deity_or_cult_el: Ήρα Ακραία και Ήρα Λιμενία,reviewed
rel-39a8b2d8cd52,sanctuary-kalapodi-artemis-apollo-sanctuary,cult_of,,deity_or_cult-artemis-elaphebolos-kai-apollon-abaios,Άρτεμις Ελαφηβόλος και Απόλλων Αβαίος,Artemis Elaphebolos and Apollo Abaios,medium,src-pleiades-955675680,deity_or_cult_el: Άρτεμις Ελαφηβόλος και Απόλλων Αβαίος,reviewed
rel-3a2e1882cc52,sanctuary-kos-asklepieion,associated_with_settlement,city-kos-city,,Κως,Kos,high,src-pleiades-599528,Ρητή επιμελητική σύνδεση του Ασκληπιείου με την Κω.,reviewed
rel-3a7838686227,sanctuary-akragas-concordia-temple-sanctuary,associated_with_settlement,colony-akragas,,Ακράγαντας,Akragas,high,src-pleiades-943504072,Ρητή επιμελητική σύνδεση του ναού με τον Ακράγαντα.,reviewed
rel-3b1e872830bf,kingdom-greco-bactrian-diodotid,succeeded_by,,polity-ellenobaktriano-basileio-ton-eythydemidon,Ελληνοβακτριανό Βασίλειο των Ευθυδημιδών,Greco-Bactrian Kingdom of the Euthydemides,medium,src-metmuseum-50fe20dc493f,successor_el: Ελληνοβακτριανό Βασίλειο των Ευθυδημιδών,reviewed
rel-3c2d1504e7cf,sanctuary-priene-athena-polias-sanctuary,associated_with_settlement,colony-priene,,Πριήνη,Priene,high,src-pleiades-298577312,Ρητή επιμελητική σύνδεση του ιερού με την Πριήνη.,reviewed
rel-3dcb89a8e837,kingdom-thebes-palatial,representative_center,,settlement-kadmeia-theba,"Καδμεία, Θήβα","Cadmeia, Thebes",high,src-mthv-715d665b63b5,"representative_center_el: Καδμεία, Θήβα",reviewed
rel-3e40df4192c7,colony-locri-epizephyrii,founded_from,,settlement-lokrida,Λοκρίδα,Locride,medium,src-pleiades-452369,metropolis_el: Λοκρίδα,reviewed
rel-3f4a773cb69a,sanctuary-delos-apollo-sanctuary,cult_of,,deity_or_cult-apollon-artemis-kai-leto,"Απόλλων, Άρτεμις και Λητώ","Apollo, Artemis and Leto",medium,src-pleiades-599506,"deity_or_cult_el: Απόλλων, Άρτεμις και Λητώ",reviewed
rel-3ff81a9a0c53,sanctuary-aegina-aphaia-sanctuary,associated_with_settlement,city-aegina-city,,Αίγινα,Aegina,high,src-pleiades-579872,Ρητή επιμελητική σύνδεση του ιερού με την Αίγινα.,reviewed
rel-40ba0a20500f,kingdom-indo-greek-early,representative_center,,settlement-taxila,Τάξιλα,Taxila,high,src-iranicaonline-612dff96c99c,representative_center_el: Τάξιλα,reviewed
rel-4134d28b7dc5,kingdom-bosporus-archaeanactid,succeeded_by,,polity-basileio-toy-kimmerioy-bosporoy-ton-spartokidon,Βασίλειο του Κιμμερίου Βοσπόρου των Σπαρτοκιδών,Kingdom of the Cimmerian Bosphorus of the Spartakids,medium,src-iranicaonline-4a607235e191,successor_el: Βασίλειο του Κιμμερίου Βοσπόρου των Σπαρτοκιδών,reviewed
rel-4254f3956c09,colony-tragurion,founded_from,colony-issa-vis,,Ίσσα,Issa,medium,src-pleiades-197555,metropolis_el: Ίσσα,reviewed
rel-42b707ddf85b,kingdom-bosporus-archaeanactid,preceded_by,,polity-symmachia-ellenikon-poleon-stis-dyo-pleyres-toy-stenoy,Συμμαχία ελληνικών πόλεων στις δύο πλευρές του στενού,Alliance of Greek cities on both sides of the strait,medium,src-iranicaonline-4a607235e191,predecessor_el: Συμμαχία ελληνικών πόλεων στις δύο πλευρές του στενού,reviewed
rel-432103b8cebc,colony-naucratis,founded_from,,settlement-miletos-kai-alles-ellenikes-poleis,Μίλητος και άλλες ελληνικές πόλεις,Miletus and other Greek cities,medium,src-pleiades-727169,metropolis_el: Μίλητος και άλλες ελληνικές πόλεις,reviewed
rel-43ae4e370511,kingdom-knossos-mycenaean,preceded_by,,polity-neoanaktoriko-minoiko-kratos-tes-knosoy,Νεοανακτορικό μινωικό κράτος της Κνωσού,Neopalatial Minoan state of Knossos,medium,src-odysseus-9e3ae0cba911,predecessor_el: Νεοανακτορικό μινωικό κράτος της Κνωσού,reviewed
rel-43b78c85da03,kingdom-bosporus-spartocid,representative_center,,settlement-pantikapaion-kerts,"Παντικάπαιον, Κερτς","Pantikapaion, Kerch",high,src-encyclopediaofukraine-237e86aa1350,"representative_center_el: Παντικάπαιον, Κερτς",reviewed
rel-447cc0e11f12,sanctuary-sounion-poseidon-sanctuary,cult_of,,deity_or_cult-poseidon-soynios,Ποσειδών Σούνιος,Poseidon Sounios,medium,src-pleiades-580086,deity_or_cult_el: Ποσειδών Σούνιος,reviewed
rel-46c1f9a8a190,sanctuary-magnesia-artemis-leukophryene,associated_with_settlement,colony-magnesia-maeander,,Μαγνησία του Μαιάνδρου,Magnesia on the Maeander,high,src-pleiades-599778,Ρητή επιμελητική σύνδεση του ιερού με τη Μαγνησία στον Μαίανδρο.,reviewed
rel-46d4ea944798,colony-magnesia-maeander,founded_from,,settlement-magnesia-thessalias,Μαγνησία Θεσσαλίας,Magnesia in Thessaly,medium,src-pleiades-599778,metropolis_el: Μαγνησία Θεσσαλίας,reviewed
rel-46da5d70e807,sanctuary-athens-acropolis-sacred-center,cult_of,,deity_or_cult-athena-polias-athena-parthenos-kai-erechtheas,"Αθηνά Πολιάς, Αθηνά Παρθένος και Ερεχθέας","Athena Polias, Athena Parthenos and Erechtheus",medium,src-pleiades-638356144,"deity_or_cult_el: Αθηνά Πολιάς, Αθηνά Παρθένος και Ερεχθέας",reviewed
rel-46e184b4d147,colony-naxos-sicily,founded_from,city-chalcis-euboea,,Χαλκίδα,Chalcis,medium,src-pleiades-462386,metropolis_el: Χαλκίδα,reviewed
rel-47832a23e784,colony-abydos,founded_from,colony-miletus,,Μίλητος,Miletus,medium,src-pleiades-501325,metropolis_el: Μίλητος,reviewed
rel-47cc6c0175de,kingdom-pylos-palatial,representative_center,,settlement-anaktoro-toy-nestora-ano-egklianos,"Ανάκτορο του Νέστορα, Άνω Εγκλιανός","Palace of Nestor, Ano Eglianos",high,src-odysseus-00e2d87ae4a8,"representative_center_el: Ανάκτορο του Νέστορα, Άνω Εγκλιανός",reviewed
rel-483b80872666,colony-lampsacus,founded_from,colony-phocaea,,Φώκαια,Phocaea,medium,src-pleiades-501570,metropolis_el: Φώκαια,reviewed
rel-4860ad143937,colony-epidamnos,founded_from,,settlement-kerkyra-kai-korinthos,Κέρκυρα και Κόρινθος,Corfu and Corinth,medium,src-pleiades-481818,metropolis_el: Κέρκυρα και Κόρινθος,reviewed
rel-4a40eac0cc5b,kingdom-bosporus-spartocid,preceded_by,,polity-basileio-toy-kimmerioy-bosporoy-ton-archaianaktidon,Βασίλειο του Κιμμερίου Βοσπόρου των Αρχαιανακτιδών,Kingdom of the Cimmerian Bosphorus of the Archeanaktids,medium,src-encyclopediaofukraine-237e86aa1350,predecessor_el: Βασίλειο του Κιμμερίου Βοσπόρου των Αρχαιανακτιδών,reviewed
rel-4a587aa681b9,kingdom-indo-greek-early,succeeded_by,,polity-indoelleniko-basileio-toy-menandroy-kai-antipales-grammes,Ινδοελληνικό βασίλειο του Μενάνδρου και αντίπαλες γραμμές,Menander's Indo-Hellenic Kingdom and Rival Lines,medium,src-iranicaonline-612dff96c99c,successor_el: Ινδοελληνικό βασίλειο του Μενάνδρου και αντίπαλες γραμμές,reviewed
rel-4ab40646f82a,sanctuary-apollonia-pontica-apollo-ietros-sanctuary,cult_of,,deity_or_cult-apollon-ietros,Απόλλων Ιητρός,Apollo Iatros,medium,src-pleiades-216706,deity_or_cult_el: Απόλλων Ιητρός,reviewed
rel-4b31c8f09696,kingdom-syracuse-hieron-ii,ruled_by_dynasty,,dynasty-ieron-b-kai-ieronides,Ιέρων Β΄ και Ιερωνίδες,Hieron II and the Hieronids,medium,src-britishmuseum-d101eb623c92,dynasty_el: Ιέρων Β΄ και Ιερωνίδες,reviewed
rel-4b59e25e223d,sanctuary-samothrace-great-gods-sanctuary,cult_of,,deity_or_cult-megaloi-theoi-kabeiroi,Μεγάλοι Θεοί/Κάβειροι,Great Gods/Kabeiroi,medium,src-pleiades-501511,deity_or_cult_el: Μεγάλοι Θεοί/Κάβειροι,reviewed
rel-4c69be7af02a,sanctuary-selinous-demeter-malophoros-sanctuary,cult_of,,deity_or_cult-demetra-malophoros,Δήμητρα Μαλοφόρος,Demeter Malophoros,medium,src-pleiades-502577471,deity_or_cult_el: Δήμητρα Μαλοφόρος,reviewed
rel-4e1dbab6054e,sanctuary-samos-heraion,associated_with_settlement,city-samos-city,,Σάμος,Samos,high,src-pleiades-599641,Ρητή επιμελητική σύνδεση του Ηραίου με τη Σάμο.,reviewed
rel-4fa4954d9ab1,sanctuary-croton-hera-lacinia-sanctuary,associated_with_settlement,colony-croton,,Κρότων,Croton,high,src-pleiades-452332,Ρητή επιμελητική σύνδεση του ιερού της Ήρας Λακινίας με τον Κρότωνα.,reviewed
rel-50693103bfc0,kingdom-macedon-argead,ruled_by_dynasty,,dynasty-argeades-temenides,Αργεάδες / Τημενίδες,Argeads / Temenids,medium,src-whc-fd006971700c,dynasty_el: Αργεάδες / Τημενίδες,reviewed
rel-51caaa22908e,colony-halicarnassus,founded_from,,settlement-troizena,Τροιζήνα,Troezen,medium,src-pleiades-599636,metropolis_el: Τροιζήνα,reviewed
